time,id,score,max,min,avg,std
7,004,0.77,0.77,0.77,0.77,0.77
11,004,0.06,0.77,0.06,0.41500000000000004,0.5020458146424487
18,004,0.82,0.82,0.06,0.55,0.42508822613664565
22,004,0.5,0.82,0.06,0.5375,0.3479822792423009
35,004,0.5,0.82,0.06,0.53,0.30182776545573137
43,004,0.16,0.82,0.06,0.4683333333333333,0.30934877835004726
47,004,0.83,0.83,0.06,0.52,0.31374086972106985
55,004,0.69,0.83,0.06,0.54125,0.29662084985959525
59,004,0.17,0.83,0.06,0.5,0.3038091506192662
70,004,0.16,0.83,0.06,0.46599999999999997,0.3059484342899052
72,004,0.73,0.83,0.06,0.49,0.3009651142574501
74,004,0.5,0.83,0.06,0.49083333333333334,0.2869734968229433
77,004,0.8,0.83,0.06,0.5146153846153846,0.2878256238481726
84,004,0.5,0.83,0.06,0.5135714285714286,0.27656150082081876
105,004,0.5,0.83,0.06,0.5126666666666667,0.2665243667945542
110,004,0.0,0.83,0.0,0.48062499999999997,0.2876217133667067
117,004,0.82,0.83,0.0,0.5005882352941177,0.29039780018612604
122,004,0.79,0.83,0.0,0.5166666666666666,0.28986812417332936
128,004,0.8,0.83,0.0,0.531578947368421,0.2891032717808395
134,004,0.5,0.83,0.0,0.53,0.2814810454495443
139,004,0.02,0.83,0.0,0.5057142857142857,0.29606707734179816
