time,id,score,max,min,avg,std,sentense
4,006,0.77,0.77,0.77,0.77,0.77,I think this day.
6,006,0.04,0.77,0.04,0.405,0.5161879502661797,I don't have not much.
9,006,0.72,0.77,0.04,0.51,0.40779897008207366,Not many thing about.
11,006,0.01,0.77,0.01,0.385,0.41637323000724563,Making me angry or if I have to find.
16,006,0.91,0.91,0.01,0.49,0.4302905994790033,Is not angry but it's a little bit or not?
21,006,0.83,0.91,0.01,0.5466666666666666,0.4091291564612166,Are you going to share with other teammates?
25,006,0.91,0.91,0.01,0.5985714285714285,0.3979291633540058,"Oh, but if you talk this, you just don't need to say that name."
38,006,0.77,0.91,0.01,0.62,0.3733630940518894,Is there someone who won? Yeah.
43,006,0.77,0.91,0.01,0.6366666666666667,0.3528101472463625,Because sometimes
46,006,0.79,0.91,0.01,0.652,0.3361481155020143,So now we are doing uh like the project and in a project.
52,006,0.74,0.91,0.01,0.66,0.32,Most of the time or most of Apparate I could is.
57,006,0.76,0.91,0.01,0.6683333333333333,0.30647062244894274,To make everyone on the same page.
60,006,0.85,0.91,0.01,0.6823076923076923,0.29771781511340134,"Understand understanding or well where we are, and what we're going to do."
67,006,0.77,0.91,0.01,0.6885714285714286,0.28699657309283844,One of the members.
71,006,0.27,0.91,0.01,0.6606666666666666,0.2969239120108206,Someone just has a
74,006,0.5,0.91,0.01,0.650625,0.28965424791177036,His mind in another place.
78,006,0.73,0.91,0.01,0.6552941176470588,0.28111647157047787,So every time I repeat something.
84,006,0.21,0.91,0.01,0.6305555555555555,0.2922221600934351,"He just wanted to pass the bedtime and then after that, I have to really explain and they redescribe and they read like push aid."
96,006,0.23,0.91,0.01,0.6094736842105263,0.2984864352810419,So I have it always the same work or activity towards or third times.
104,006,0.71,0.91,0.01,0.6145,0.29139365668781253,To the summit.
106,006,0.5,0.91,0.01,0.6090476190476191,0.28511234210228015,An but one thing that I.
110,006,0.83,0.91,0.01,0.6190909090909091,0.28220069000133474,It made me really annoyed is like.
114,006,0.85,0.91,0.01,0.6291304347826087,0.27988492835901263,That that someone.
116,006,0.09,0.91,0.01,0.6066666666666667,0.295026405106636,Doesn't seem to realize it?
123,006,0.8,0.91,0.01,0.6144,0.2913914892374175,Does good things that?
128,006,0.25,0.91,0.01,0.6003846153846154,0.2943124974476044,Others that bothers me.
