time,id,score,max,min,avg,std,sentense
3,008,0.83,0.83,0.83,0.83,0.83,What I've been feeling happy about is?
7,008,0.89,0.89,0.83,0.86,0.04242640687119289,"Well, one of the things is our project is going pretty well like we are having A."
18,008,0.89,0.89,0.83,0.87,0.03464101615137758,Pretty decent such events and we had.
23,008,0.25,0.89,0.25,0.715,0.3112876483254676,We've been having.
25,008,0.89,0.89,0.25,0.75,0.280713376952364,"One more agreements health urgent things certain things, and I feel happy about that."
32,008,0.22,0.89,0.22,0.6616666666666666,0.33144632546864455,The other thing is.
35,008,0.26,0.89,0.22,0.6042857142857143,0.33851918423515986,I've been practicing for awhile and now I'm saying.
42,008,0.93,0.93,0.22,0.645,0.3338947652864811,"You know the patterns logic, so clear and clear and I found the I find myself."
51,008,0.86,0.93,0.22,0.6688888888888889,0.3204467367771298,Getting more.
53,008,0.19,0.93,0.19,0.621,0.3379497003993346,"Proficient and effective in doing that still a long way to go, but I feel I'm getting better at this."
