time,id,score,max,min,avg,std
1,012,0.75,0.75,0.75,0.75,0.75
8,012,0.02,0.75,0.02,0.385,0.5161879502661797
36,012,0.5,0.75,0.02,0.42333333333333334,0.3709896674212549
45,012,0.73,0.75,0.02,0.5,0.33950945004029953
51,012,0.05,0.75,0.02,0.41,0.35630043502639736
65,012,0.77,0.77,0.02,0.47,0.3509415905816807
71,012,0.5,0.77,0.02,0.4742857142857143,0.3205649774412432
83,012,0.86,0.86,0.02,0.5225,0.3266168572327084
88,012,0.18,0.86,0.02,0.48444444444444446,0.3261560635306015
91,012,0.0,0.86,0.0,0.436,0.3435500933876553
97,012,0.79,0.86,0.0,0.4681818181818182,0.3429524218260656
102,012,0.17,0.86,0.0,0.44333333333333336,0.33813212407775356
113,012,0.5,0.86,0.0,0.44769230769230767,0.32411813294316644
127,012,0.18,0.86,0.0,0.42857142857142855,0.3195154298153845
136,012,0.75,0.86,0.0,0.45,0.31888197547950914
142,012,0.13,0.86,0.0,0.43,0.31828708215487894
