time,id,score,max,min,avg,std
3,013,0.99,0.99,0.99,0.99,0.99
19,013,0.75,0.99,0.75,0.87,0.16970562748477142
20,013,0.85,0.99,0.75,0.8633333333333333,0.12055427546683417
26,013,0.74,0.99,0.74,0.8325,0.11615363389350618
36,013,0.75,0.99,0.74,0.816,0.10714476188783098
42,013,0.75,0.99,0.74,0.8049999999999999,0.09954898291795852
46,013,0.25,0.99,0.25,0.7257142857142858,0.22860862792533612
49,013,0.82,0.99,0.25,0.7375,0.21425952220879904
56,013,0.7,0.99,0.25,0.7333333333333333,0.20081085628023201
63,013,0.05,0.99,0.05,0.665,0.28729582121724095
72,013,0.92,0.99,0.05,0.6881818181818182,0.2831896248741532
77,013,0.84,0.99,0.05,0.7008333333333333,0.27354435682630185
82,013,0.24,0.99,0.05,0.6653846153846154,0.29142224190497723
86,013,0.28,0.99,0.05,0.6378571428571429,0.2983332821740599
93,013,0.89,0.99,0.05,0.6546666666666666,0.2947605969660964
97,013,0.12,0.99,0.05,0.62125,0.3145764348029479
101,013,0.76,0.99,0.05,0.6294117647058823,0.30644066693724115
111,013,1.0,1.0,0.05,0.65,0.3098576523274556
115,013,0.19,1.0,0.05,0.6257894736842106,0.31908403263566937
131,013,0.84,1.0,0.05,0.6365,0.31424554596349447
