score,sentence,timestamp
0.77,I think this day.,3.1
0.04,I don't have not much.,5.25
0.06,Damn anything about.,8.12
0.03,Making me angry or if I have the Vine.,10.26
0.9,Is not angry but it's a little bit unknown?,15.14
0.83,Are you going to share with other teammates?,20.75
0.88,"Oh, but if you talk this, you just don't need to say that men.",25.8
0.9,Just say someone to yeah.,38.01
0.77,Because sometimes,42.8
0.79,So now we are doing uh like the project and in a project.,45.71
0.75,"Most of the time or most of effort, I put is.",51.16
0.76,To make everyone on the same page.,56.33
0.79,"Understand understanding of the world where we are, and what we're going to do.",59.99
0.77,One of the members.,66.65
0.27,Someone just has a,70.6
0.5,His mind in another place.,74.05
0.73,So every time I repeat something.,78.01
0.18,"He just wanted to pass the bedtime and then after that, I have to really explain.",83.7
0.91,And they redescribe and they really like crocheted.,91.12
0.28,So I have it always the same work or activity to wife or third times.,95.58
0.84,To the summer.,103.82
0.5,An but one thing that I.,105.42
0.86,Made me really annoyed is like.,109.96
0.01,The bad someone.,113.53
0.09,Doesn't seem to realize it?,115.69
0.8,Does good things that?,122.76
0.78,"Others that bothers me, this day.",127.21
