score,sentence,timestamp
0.75,"OK, so our first quarter is hardware, software project, we are doing.",0.26
0.02,Machine learning project and I'm angry I'm angry and upset because I basically do all the job because one reason is that we don't know what we're going to do and we split the work mistake. We mystically split the work so my my my job is did you hardware software data collection machine learning training?,7.31
0.5,Another guy's job is the enclosure another one's job is to do.,38.13
0.73,"Image for image processing, which we regard part of the machine learning, but actually.",44.28
0.05,That is too trivial to be in the final like to be in the final presentation of the project. So basically I went through the whole process. I clicked data over myself.,50.3
0.77,And we and I trained the date I had to.,64.91
0.28,"All by myself, I figure out connection between hardware and the sensors over myself basically I did the old project.",70.1
0.92,The good thing is I know it a lot from family that Holder.,82.06
0.18,But what Matthew Hungry.,87.62
0.01,Which part I'm angry because the communication is so hard?,90.47
0.79,"Like every discussion, we will spend more than one hour.",96.67
0.8,But gets no results because we are might just you.,101.1
0.17,2 straight we can focus on the real problem we want to.,105.69
0.5,We want to solve with just bringing more includes and bring more possibility to make to make the situation more complex.,112.16
0.18,Does it make you angry is because spent too much time?,126.28
0.75,"Yes, and recently spends too much time is out.",135.41
0.11,Is harder to communicate with?,141.13
