score,sentence,timestamp
0.94,Why is my birthday?,10.56
0.21,Should I sure?,24.46
0.97,Happy thing about this.,28.57
0.83,Now I have of friends that I can call I have a people that I can confirm.,37.87
0.83,I have people.,48.68
0.85,I have a paper that I can call as a friend.,51.09
0.77,"Now, for me.",57.39
0.86,If I say how many friends do you have?,60.11
0.83,In the United States maybe I can say.,63.67
0.19,And now I see that some weird.,76.33
0.84,The ability of this relationship and also I can draw some.,80.26
0.77,Father future.,86.99
0.83,On based on that this relationship I can imagine some kind of future.,89.58
0.73,Based on this relationship.,95.66
0.91,Which is kind of very good to me and then it made me happy because sometimes it is hard to have someone that you can trust or you can believe or you can like lion or you can share everything.,97.93
0.5,Even your go to church or you go to University or whatever like.,114.09
0.12,"No matter it doesn't matter where you are, which organization are you is really hard. I mean, it's not a super feature vector relation ship.",119.54
0.9,So then make me happy and.,131.17
0.92,"I mean, is that you don't need to say the name. This just fine recently or do you feel?",136.44
0.83,I have read.,155.08
