score,sentence,timestamp
0.92,I want to share as I had a teacher very have a good very good lation ship T shirt.,0.1
0.77,"Oh, actually he is the my current school teacher for when I want to enter 2 gorgeous or we go to usually that college student went to the current school to apply forward Rascal so he was my linear algebra and discrete math teacher, an because of him. I really like this two subject and I work **** ** it.",12.69
0.21,An after we,44.52
0.72,Finish the testing I also feel very thankful to this teachers or I go back to fighting and he said. We're at all table usually only come back to see me within 3 years after 3 years. No one will come back to see me and has no I promise I will come back every teacher every year's teachers.,46.79
0.77,And later I fall find found the job and he also give me a present to conquer Ridge. It's I got the job.,77.85
0.76,But after 3 months. I got a message. Let's he he played basketball in the basketball field. He dying that basketball field and I feel so.,87.13
0.9,In Latin I will.,103.98
0.05,"Oh, at this is the first I feel my heart is so painful an.",106.69
0.72,Every time every.,115.19
0.5,Every year's teachers day I really think golfing and also when I see the.,118.41
0.84,Formula or array. I feel is easy to understand it's because of Hank and I think I think.,127.75
0.78,But now even every year.,137.39
0.86,"I think of, he but I can go back to seeing so yeah, so this, this story. Also, Mark me that if I have very good relationship with other teacher. I always remind myself need to go back to say then because.",141.23
0.75,"You don't know what happen in the future, yeah, let's say.",160.27
